228,Calochortus splendens,,297
11,Calochortus tiburonensis,,298
364,Calochortus tolmiei,,299
1662,Calochortus umbellatus,,300
1171,Calochortus venustus,,301
150,Calopogon tuberosus,,302
1806,Caltha leptosepala,,303
1800,Caltha palustris,,304
843,Calycanthus floridus,,305
1658,Calycanthus occidentalis,,306
945,Calylophus berlandieri,,307
162,Calypso bulbosa,,308
69,Calypso bulbosa occidentalis,,309
1693,Calyptocarpus vialis,,310
489,Calyptridium monospermum,,311
1433,Calystegia macrostegia,,312
27,Calystegia sepium,,313
320,Calystegia soldanella,,314
1200,Camassia quamash,,315
498,Camassia scilloides,,316
496,Camissoniopsis cheiranthifolia,,317
977,Campanula rapunculoides,,318
1223,Campanula rotundifolia,,319
1009,Campanulastrum americanum,,320
1342,Campsis radicans,,321
1175,Canna indica,,322
734,Capnoides sempervirens,,323
479,Capparis spinosa,,324
1768,Capsella bursa-pastoris,,325
1907,Capsicum annuum,,326
1032,Cardamine bulbosa,,327
672,Cardamine californica,,328
698,Cardamine concatenata,,329
1631,Cardamine diphylla,,330
679,Cardamine douglassii,,331
1678,Cardamine hirsuta,,332
1035,Cardamine impatiens,,333
1337,Cardamine pratensis,,334
1387,Cardiospermum halicacabum,,335
502,Carduus nutans,,336
909,Carduus pycnocephalus,,337
1655,Carex grayi,,338
1282,Carex intumescens,,339
74,Carex lupulina,,340
860,Carex obnupta,,341
454,Carex pensylvanica,,342
1691,Carex plantaginea,,343
1355,Carica papaya,,344
1825,Carnegiea gigantea,,345
1665,Carpinus betulus,,346
1394,Carpinus caroliniana,,347
1742,Carpobrotus chilensis,,348
34,Carpobrotus edulis,,349
470,Carpodetus serratus,,350
1405,Carya cordiformis,,351
1776,Carya glabra,,352
449,Carya illinoinensis,,353
1406,Carya ovata,,354
727,Cassiope mertensiana,,355
8,Castanea dentata,,356
1801,Castanea sativa,,357
204,Castilleja affinis,,358
1563,Castilleja chromosa,,359
253,Castilleja coccinea,,360
1845,Castilleja exserta,,361
1925,Castilleja foliolosa,,362
1319,Castilleja hispida,,363
241,Castilleja indivisa,,364
524,Castilleja miniata,,365
720,Castilleja nana,,366
43,Castilleja purpurea,,367
920,Castilleja tenuiflora,,368
1588,Catalpa speciosa,,369
1381,Catharanthus roseus,,370
1239,Caulophyllum giganteum,,371
523,Caulophyllum thalictroides,,372
1599,Ceanothus americanus,,373
1203,Ceanothus cordulatus,,374
710,Ceanothus cuneatus,,375
1273,Ceanothus herbaceus,,376
1897,Ceanothus prostratus,,377
1135,Ceanothus thyrsiflorus,,378
789,Ceanothus velutinus,,379
1354,Ceiba pentandra,,380
1821,Celastrus orbiculatus,,381
1191,Celastrus scandens,,382
2063,Celtis laevigata,,383
1434,Celtis occidentalis,,384
1145,Celtis pallida,,385
24,Cenchrus ciliaris,,386
1476,Centaurea americana,,387
1316,Centaurea calcitrapa,,388
1516,Centaurea cyanus,,389
376,Centaurea jacea,,390
129,Centaurea melitensis,,391
1819,Centaurea montana,,392
1923,Centaurea solstitialis,,393
538,Centaurea stoebe,,394
279,Centaurea stoebe micranthos,,395
1804,Centaurium erythraea,,396
2084,Centranthus ruber,,397
1180,Centrosema virginianum,,398
845,Cephalanthus occidentalis,,399
370,Cerastium arvense,,400
1021,Cerastium fontanum,,401
906,Cerastium glomeratum,,402
858,Ceratophyllum demersum,,403
1905,Cercis canadensis,,404
2091,Cercis canadensis texensis,,405
1248,Cercis occidentalis,,406
1392,Cercocarpus betuloides,,407
1168,Chaerophyllum tainturieri,,408
829,Chamaebatia foliolosa,,409
1383,Chamaecrista fasciculata,,410
175,Chamaecyparis thyoides,,411
367,Chamaedaphne calyculata,,412
1732,Chamerion angustifolium,,413
553,Chamerion latifolium,,414
531,Chasmanthium latifolium,,415
1651,Chelidonium majus,,416
76,Chelone glabra,,417
185,Chenopodium album,,418
1818,Chilopsis linearis,,419
1900,Chimaphila maculata,,420
1206,Chimaphila menziesii,,421
1205,Chimaphila umbellata,,422
1663,Chlorogalum pomeridianum,,423
245,Chondracanthus exasperatus,,424
1598,Chrysogonum virginianum,,425
1040,Chrysolepis chrysophylla,,426
1048,Chrysolepis sempervirens,,427
1882,Chylismia brevipes,,428
1490,Chylismia claviformis,,429
2041,Cichorium intybus,,430
59,Cicuta maculata,,431
1893,Circaea alpina,,432
596,Circaea lutetiana,,433
1570,Cirsium andersonii,,434
622,Cirsium arvense,,435
963,Cirsium discolor,,436
384,Cirsium horridulum,,437
270,Cirsium muticum,,438
798,Cirsium occidentale,,439
800,Cirsium occidentale venustum,,440
61,Cirsium scariosum,,441
1615,Cirsium texanum,,442
578,Cirsium undulatum,,443
908,Cirsium vulgare,,444
1228,Cissus incisa,,445
695,Cladophora columbiana,,446
1621,Clarkia amoena,,447
597,Clarkia concinna,,448
415,Clarkia purpurea,,449
1586,Clarkia rubicunda,,450
565,Clarkia unguiculata,,451
492,Claytonia caroliniana,,452
1284,Claytonia lanceolata,,453
1672,Claytonia perfoliata,,454
1657,Claytonia sibirica,,455
22,Claytonia virginica,,456
1172,Clematis drummondii,,457
165,Clematis lasiantha,,458
1517,Clematis paniculata,,459
125,Clematis pitcheri,,460
