854,Lophodytes cucullatus,497
99,Lophura leucomelanos,498
241,Loxia curvirostra,499
243,Loxia leucoptera,500
550,Luscinia svecica,501
382,Malurus cyaneus,502
416,Manorina melanocephala,503
291,Megaceryle alcyon,504
278,Megaceryle torquata,505
369,Megadyptes antipodes,506
32,Megarynchus pitangua,507
332,Megascops asio,508
330,Megascops kennicottii,509
557,Melanerpes aurifrons,510
182,Melanerpes carolinus,511
183,Melanerpes chrysogenys,512
723,Melanerpes erythrocephalus,513
184,Melanerpes formicivorus,514
177,Melanerpes lewis,515
180,Melanerpes pucherani,516
178,Melanerpes uropygialis,517
680,Melanitta americana,518
838,Melanitta fusca,519
842,Melanitta perspicillata,520
802,Melanotis caerulescens,521
72,Meleagris gallopavo,522
375,Meleagris gallopavo intermedia,523
873,Meleagris gallopavo silvestris,524
73,Meleagris ocellata,525
139,Melopsittacus undulatus,526
71,Melospiza georgiana,527
69,Melospiza lincolnii,528
650,Melospiza melodia,529
907,Melozone aberti,530
908,Melozone crissalis,531
581,Melozone fusca,532
832,Mergus merganser,533
831,Mergus serrator,534
239,Merops apiaster,535
242,Merops orientalis,536
238,Merops pusillus,537
169,Microcarbo melanoleucos,538
219,Microcarbo melanoleucos brevirostris,539
518,Milvago chimachima,540
839,Milvus migrans,541
638,Milvus milvus,542
494,Mimus gilvus,543
890,Mimus polyglottos,544
961,Mitrephanes phaeocercus,545
228,Mniotilta varia,546
236,Molothrus aeneus,547
237,Molothrus ater,548
641,Momotus coeruliceps,549
104,Momotus lessonii,550
231,Momotus mexicanus,551
565,Monticola solitarius,552
927,Morus bassanus,553
367,Morus serrator,554
109,Motacilla aguimp,555
652,Motacilla alba,556
16,Motacilla cinerea,557
783,Motacilla flava,558
533,Muscicapa striata,559
525,Myadestes townsendi,560
520,Mycteria americana,561
521,Mycteria ibis,562
931,Myiarchus cinerascens,563
766,Myiarchus crinitus,564
689,Myiarchus tuberculifer,565
691,Myiarchus tyrannulus,566
917,Myioborus miniatus,567
919,Myioborus pictus,568
937,Myiodynastes luteiventris,569
301,Myiopsitta monachus,570
289,Myiozetetes similis,571
279,Nestor meridionalis,572
118,Nestor meridionalis septentrionalis,573
340,Nestor notabilis,574
859,Netta rufina,575
841,Ninox novaeseelandiae novaeseelandiae,576
273,Notiomystis cincta,577
202,Nucifraga columbiana,578
846,Numenius americanus,579
389,Numenius arquata,580
390,Numenius phaeopus,581
35,Numida meleagris,582
572,Nyctanassa violacea,583
326,Nyctibius jamaicensis,584
569,Nycticorax nycticorax,585
322,Nyctidromus albicollis,586
29,Oceanites oceanicus,587
417,Ocyphaps lophotes,588
498,Oenanthe oenanthe,589
946,Onychognathus morio,590
621,Onychoprion fuscatus,591
160,Opisthocomus hoazin,592
804,Oreoscoptes montanus,593
698,Oreothlypis celata,594
697,Oreothlypis peregrina,595
699,Oreothlypis ruficapilla,596
270,Oriturus superciliosus,597
225,Ortalis poliocephala,598
226,Ortalis vetula,599
930,Oxyura jamaicensis,600
47,Pachyramphus aglaiae,601
250,Pandion haliaetus,602
910,Parabuteo unicinctus,603
921,Parkesia motacilla,604
12,Parkesia noveboracensis,605
217,Paroaria capitata,606
935,Paroaria coronata,607
695,Parus major,608
671,Passer domesticus,609
495,Passer italiae,610
670,Passer montanus,611
179,Passerculus sandwichensis,612
